Window Size,KL Score
20,1.3496540217393758
40,0.6870250277942899
60,0.3737788873123198
80,0.6025785886786414
100,0.48588142710938487
120,0.45915037330279845
140,0.34241264218568934
160,0.42326513650380493
180,0.2980257696551033
200,0.32324405992635247
220,0.32105767752320746
240,0.3720762159102359
260,0.3199130229506739
280,0.31581378282443995
300,0.30582010309358515
320,0.36871672575002856
340,0.2944099869569247
360,0.2971104543459889
380,0.30627442720146214
400,0.299919556290547
420,0.3074213528792745
440,0.31583899240256086
460,0.33315528007587003
480,0.3891406720723495
500,0.3054015884242774
520,0.30433700843462386
540,0.31784993938129524
560,0.33099915292845555
580,0.2907878104582619
600,0.2430018256055245
620,0.2756648617819434
640,0.30800352342548726
660,0.29026033053484
680,0.341278908273375
700,0.321677902471264
720,0.28326438031288764
740,0.3366570255243761
760,0.2976677518051762
780,0.30647086623620867
800,0.31422070870833174
820,0.32733047196129683
840,0.2441149645331527
860,0.32906031532338725
880,0.31599607149596176
900,0.2996909054740599
920,0.2814292551011032
940,0.3311574170625625
960,0.28754485307770106
980,0.3098114164721778
1000,0.325892120065561
